id,tag_name,count,excerpt_post_id,wiki_post_id,Class
116,cloud,5122,4112372,4112371,ND
12282,pattern-matching,6146,7545526,7545525,ND
218,directory,8450,5840336,5840335,ND
5769,oauth,15106,4942566,4942565,ND
65796,drilldown,259,13034795,13034794,ND
43391,invoke-command,259,18624532,18624531,ND
20057,vertex-buffer,259,23832945,23832944,ND
70178,remoteview,259,17935413,17935412,ND
13968,multi-user,259,40406697,40406696,ND
101757,underscore.js-templating,259,22214324,22214323,ND
55273,android-fonts,259,11154918,11154917,ND
64647,mediacontroller,259,23746381,23746380,ND
78634,restler,259,10435956,10435955,ND
59399,gridcontrol,259,31647950,31647949,ND
117323,zend-framework3,259,35126481,35126480,ND
102276,suitecrm,259,22865191,22865190,ND
101400,entity-framework-6.1,259,22501731,22501730,ND
34531,boost-regex,259,6674962,6674961,ND
113525,azure-graph-api,259,34781484,34781483,ND
1573,doctest,259,7867773,7867772,ND
11782,data-recovery,259,9123343,9123342,ND
5381,mach-o,259,5751303,5751302,ND
7210,rdfs,259,5579568,5579567,ND
16048,office-automation,259,22684126,22684125,ND
48397,u-boot,515,10732224,10732223,ND
42721,blackberry-jde,515,8358515,8358514,ND
13243,msbuild-task,515,20630968,20630967,ND
29637,uiwindow,515,7875683,7875682,ND
122376,vuejs,515,40294511,40294510,ND
3210,atmega,515,5379446,5379445,ND
106292,torch,771,25250332,25250331,ND
79058,amazon-route53,771,14019734,14019733,ND
91366,json-deserialization,771,26391893,26391892,ND
7926,jbpm,1027,7922205,7922204,ND
73478,ebean,1027,7593827,7593826,ND
100711,prestashop-1.6,1539,21751556,21751555,ND
24817,uipickerview,2819,8338644,8338643,ND
5738,margin,2819,8426338,8426337,ND
6398,z-index,3075,5519932,5519931,ND
18967,protocol-buffers,3331,5443344,5443343,ND
4278,structure,4611,11756625,11756624,ND
2596,windows-services,7171,4079477,4079476,ND
12863,eol,260,5825657,5825656,ND
27207,datagridcomboboxcolumn,260,34031096,34031095,ND
59868,maximo,260,10901003,10901002,ND
21104,devart,260,4500601,4500600,ND
50741,twython,260,16178336,16178335,ND
65530,jrebel,260,8546948,8546947,ND
24200,cometd,260,8309244,8309243,ND
9997,procedural-generation,260,16484300,16484299,ND
107625,facebook-share,260,26418597,26418596,ND
13391,gz,260,20858131,20858130,ND
99347,autoencoder,260,20824343,20824342,ND
33581,sungridengine,260,18330152,18330151,ND
6744,drawstring,260,9488537,9488536,ND
30740,arrow-keys,260,10422615,10422614,ND
97713,prestodb,260,19824199,19824198,ND
18585,wlan,260,12088151,12088150,ND
67209,opensaml,260,14628667,14628666,ND
107929,dynamics-crm-2015,516,27296944,27296943,ND
8395,rad,516,7103855,7103854,ND
52590,adfs2.0,516,5044189,5044188,ND
33065,n-gram,516,6938512,6938511,ND
20476,default-constructor,516,23733058,23733057,ND
8047,stage,516,14556338,14556337,ND
5882,sbcl,516,5227526,5227525,ND
47305,rodbc,516,14883294,14883293,ND
63688,exchange-server-2010,516,22107451,22107450,ND
1546,timeline,772,7527174,7527173,ND
67620,rails-admin,772,12485437,12485436,ND
94297,jsonobject,772,17842037,17842036,ND
13591,excel-vba,66308,4394313,4394312,ND
13355,keydown,1028,10221278,10221277,ND
43463,resque,1028,5268747,5268746,ND
19688,disassembly,1028,9231909,9231908,ND
52371,windows-applications,1028,25912235,25912234,ND
445,datacontext,1284,6075670,6075669,ND
53820,restsharp,1284,7155568,7155567,ND
58529,ormlite,1284,5059290,5059289,ND
40439,spree,1540,5403761,5403760,ND
430,quotes,1540,15567009,15567008,ND
56627,opengraph,1796,7581858,7581857,ND
96554,datastax,1796,23552733,23552732,ND
13094,statusbar,1796,9057164,9057163,ND
14412,file-get-contents,2052,11147750,11147749,ND
2109,transition,2820,15860247,15860246,ND
10429,puppet,3076,4924056,4924055,ND
9657,nsdictionary,3844,8338088,8338087,ND
100913,cordova-plugins,3844,21749827,21749826,ND
19712,apache-pig,4868,5641281,5641280,ND
523,grid,8196,6186129,6186128,ND
1695,database-design,18948,4133665,4133664,ND
69931,freeradius,261,14119721,14119720,ND
9968,godaddy,261,6911960,6911959,ND
9439,em,261,7317824,7317823,ND
66617,uipopover,261,16400861,16400860,ND
85088,tsc,261,12970718,12970717,ND
22217,panoramas,261,20418310,20418309,ND
11357,rssi,261,7081772,7081771,ND
12814,http-compression,261,8193861,8193860,ND
29839,quota,261,10024490,10024489,ND
91702,google-api-nodejs-client,261,20013878,20013877,ND
1410,ivr,261,9960817,9960816,ND
59862,sql-agent-job,261,29509078,29509077,ND
114613,fbsdk,261,32566731,32566730,ND
73674,cache-manifest,261,7862399,7862398,ND
2159,3des,261,9196815,9196814,ND
36028,allegro5,261,6392213,6392212,ND
28566,zshrc,261,8719776,8719775,ND
70770,try-except,261,19597062,19597061,ND
85933,keyvaluepair,261,13410232,13410231,ND
27955,javaagents,261,34289673,34289672,ND
103578,android-layout-weight,261,23339822,23339821,ND
70122,perfect-forwarding,261,8234018,8234017,ND
104924,allure,261,24060973,24060972,ND
87513,getusermedia,517,17628757,17628756,ND
1406,dbunit,517,5783734,5783733,ND
2866,codedom,517,5819125,5819124,ND
8898,observers,517,24948010,24948009,ND
7602,weather,517,12952714,12952713,ND
62629,pg,517,5758652,5758651,ND
3131,modularity,517,6281187,6281186,ND
56026,image-scaling,517,9838457,9838456,ND
108886,immutable.js,773,27639812,27639811,ND
10016,utf-16,773,4926607,4926606,ND
8646,shell-exec,773,11209823,11209822,ND
53762,jsdoc,773,9786571,9786570,ND
35582,job-scheduling,773,15525020,15525019,ND
41749,django-south,1029,6438073,6438072,ND
108235,rx-android,1029,27365593,27365592,ND
12862,binary-search,1541,7265360,7265359,ND
63387,jquery-ui-draggable,1541,10932168,10932167,ND
7944,shape,1797,13155195,13155194,ND
19287,ghc,1797,5374605,5374604,ND
36445,outlook-addin,2309,7407945,7407944,ND
4871,reverse-engineering,2309,5146851,5146850,ND
24005,quartz-scheduler,3077,5476902,5476901,ND
3050,clone,3333,8386430,8386429,ND
1429,integration-testing,3845,5328879,5328878,ND
16707,paperclip,4101,4991685,4991684,ND
6051,append,6405,9715862,9715861,ND
23577,nsstring,6917,5738618,5738617,ND
34113,cassandra,12805,4980191,4980190,ND
97200,kendo-dropdown,262,23653918,23653917,ND
19149,cross-join,262,20631340,20631339,ND
126794,arkit,262,44392495,44392494,ND
6755,text-formatting,262,26969413,26969412,ND
65731,casbah,262,6801620,6801619,ND
86594,googlevis,262,13833327,13833326,ND
114711,android-security,262,44987451,44987450,ND
57248,apache-fop,262,5693689,5693688,ND
99091,kendo-datasource,262,23517926,23517925,ND
70290,flex-mobile,262,6445320,6445319,ND
73514,android-tabactivity,262,12224265,12224264,ND
2267,research,262,24072093,24072092,ND
3880,versions,262,20238164,20238163,ND
3594,bonjour,518,5501571,5501570,ND
43897,mongomapper,518,5127418,5127417,ND
5975,ports,518,14035756,14035755,ND
43785,sql-view,518,8524405,8524404,ND
38822,soundpool,518,11517274,11517273,ND
9822,jeditable,518,5752562,5752561,ND
5374,saas,774,6242492,6242491,ND
7353,strip,774,19570942,19570941,ND
44078,spring-transactions,1030,6032892,6032891,ND
72868,facebook-apps,1286,7437839,7437838,ND
15227,entitymanager,1286,8162981,8162980,ND
2128,dispose,1542,8339701,8339700,ND
94462,picasso,1798,18605374,18605373,ND
17782,digital-signature,2054,7430210,7430209,ND
9573,dynamic-programming,2822,6161795,6161794,ND
25478,mysql-workbench,3334,5591801,5591800,ND
22279,video-streaming,5638,5167425,5167424,ND
2595,webkit,6406,5390122,5390121,ND
72595,android-viewpager,8710,7716318,7716317,ND
4984,ruby-on-rails,279814,3625098,3607365,ND
21,mysql,480774,3624969,3607033,ND
201,api,56070,4924743,4924742,ND
8681,lcdui,263,6660220,6660219,ND
70235,avassetexportsession,263,14396281,14396280,ND
104157,quill,263,23662482,23662481,ND
68892,stoppropagation,263,10068067,10068066,ND
53854,heap-corruption,263,27533657,27533656,ND
101900,scrollmagic,263,23734300,23734299,ND
116220,sklearn-pandas,263,33971606,33971605,ND
22557,gprof,263,4981470,4981469,ND
69796,asp.net-mvc-scaffolding,263,11826832,11826831,ND
51584,bosh,263,5547270,5547269,ND
15825,flash-cs3,263,7659309,7659308,ND
37834,content-length,263,26713798,26713797,ND
64904,minimagick,263,6627914,6627913,ND
30297,optionmenu,263,19611560,19611559,ND
63771,prism-4,263,5502442,5502441,ND
115976,sourcetree,263,33750599,33750598,ND
102253,intellij-13,263,22537771,22537770,ND
105481,stormpath,263,24574241,24574240,ND
85734,video-player,263,13428465,13428464,ND
24566,xfbml,263,8473967,8473966,ND
14338,prefetch,263,15553870,15553869,ND
24233,named,263,35579788,35579787,ND
39199,connection-timeout,519,10826197,10826196,ND
47913,git-log,519,9281676,9281675,ND
97292,mosquitto,519,19596108,19596107,ND
31005,tween,519,11501817,11501816,ND
69457,axis-labels,775,22107908,22107907,ND
53458,android-location,1031,20641958,20641957,ND
7474,sharing,1031,22236092,22236091,ND
43087,githooks,1031,11320467,11320466,ND
37414,graph-databases,1543,6997132,6997131,ND
52511,mailchimp,1799,5235838,5235837,ND
2983,content-type,1799,8500743,8500742,ND
31513,expandablelistview,2823,8316410,8316409,ND
25960,nsurlconnection,3079,8225829,8225828,ND
448,cpu,3079,5188063,5188062,ND
9801,condition,3591,12952169,12952168,ND
9444,mpi,4359,4890676,4890675,ND
3508,wamp,4615,5008439,5008438,ND
391,terminal,13063,5094651,5094650,ND
360,parameters,14343,6477436,6477435,ND
33220,wss-3.0,264,8357957,8357956,ND
81622,avasset,264,14396326,14396325,ND
120319,apache-kafka-streams,264,37766846,37766845,ND
5397,after-effects,264,7288398,7288397,ND
15363,subform,264,39767994,39767993,ND
11776,static-assert,264,6279425,6279424,ND
14680,line-numbers,264,13427300,13427299,ND
28617,quickcheck,264,5927929,5927928,ND
101568,undertow,264,22095445,22095444,ND
18682,decoupling,264,19441247,19441246,ND
86851,dropdownlistfor,264,33997917,33997916,ND
8868,quadtree,264,7152827,7152826,ND
18541,opticalflow,264,15277663,15277662,ND
13035,file-not-found,264,10906976,10906975,ND
49603,moles,264,5794134,5794133,ND
85716,randomaccessfile,264,13396557,13396556,ND
76570,mapr,264,8921814,8921813,ND
43849,html-form-post,264,24838655,24838654,ND
14443,jcl,264,5311562,5311561,ND
87263,python-docx,264,14126344,14126343,ND
76507,web-forms-for-marketers,264,9302149,9302148,ND
117674,liferay-7,264,35293687,35293686,ND
39137,php-include,264,10065834,10065833,ND
36102,asp.net-mvc-areas,520,11588727,11588726,ND
6819,coalesce,520,5611040,5611039,ND
59641,unrecognized-selector,520,23946282,23946281,ND
84358,android-launcher,520,12844425,12844424,ND
9186,iso-8859-1,520,9156215,9156214,ND
49617,awtrobot,520,7980331,7980330,ND
20534,visible,776,13467566,13467565,ND
723,evaluation,776,19393093,19393092,ND
71485,android-calendar,776,11662365,11662364,ND
106959,service-worker,1032,25853377,25853376,ND
15714,lag,1032,10489055,10489054,ND
61449,android-menu,1032,9261373,9261371,ND
92804,android-bluetooth,1288,22115805,22115804,ND
21797,deep-linking,1288,14764509,14764508,ND
81187,oozie,1544,11031507,11031506,ND
63224,android-theme,1544,11916074,11916073,ND
2881,javadoc,2312,5044240,5044239,ND
45051,phpexcel,3080,3625289,3608181,ND
57216,racket,3592,4363249,4363248,ND
56240,http-status-code-404,4616,5716251,5716250,ND
8952,shared-libraries,5128,5279766,5279765,ND
8328,max,5128,12208146,12208145,ND
8826,telerik,8456,5112367,5112366,ND
1477,gcc,27144,3793217,3793216,ND
390,shell,57864,4958351,4958350,ND
117472,ng2-bootstrap,265,35100114,35100113,ND
13453,feedparser,265,12070356,12070355,ND
4595,midlet,265,6835034,6835033,ND
69210,wcf-web-api,265,6567931,6567930,ND
14440,ocunit,265,3641927,3641926,ND
110784,angular-chart,265,34589009,34589008,ND
19609,mailmessage,265,13286138,13286137,ND
40621,python-c-extension,265,8655677,8655676,ND
20848,changeset,265,18840643,18840642,ND
18782,manytomanyfield,265,16420655,16420654,ND
88759,grape-api,265,14859790,14859789,ND
29573,executor,265,38987627,38987626,ND
3037,camelcasing,265,9685955,9685954,ND
54337,openejb,265,6049201,6049200,ND
43882,datastage,265,9284108,9284107,ND
34547,boost-mpl,265,7575121,7575120,ND
51381,git-reset,265,8276342,8276341,ND
74117,closedxml,265,9686345,9686344,ND
6251,decimal-point,265,17337368,17337367,ND
16648,onkeypress,265,15115217,15115216,ND
23910,swfupload,265,8377042,8377041,ND
9305,scriptlet,265,10557818,10557817,ND
107844,keycloak,521,26615477,26615476,ND
31364,concrete5,521,6655729,6655728,ND
44355,jcheckbox,521,5825144,5825143,ND
5623,administrator,521,6821280,6821279,ND
21144,burn,521,13637498,13637497,ND
91268,arduino-ide,521,16244438,16244437,ND
36213,google-webmaster-tools,777,12421388,12421387,ND
79955,vert.x,777,10448573,10448572,ND
76664,tizen,777,8999155,8999154,ND
1032,flv,777,7635591,7635590,ND
4333,ignore,777,9349302,9349301,ND
23226,link-to,777,12624903,12624902,ND
69662,jquery-deferred,1033,9623462,9623461,ND
11479,synchronous,1033,6709076,6709075,ND
36688,babel,1033,9576404,9576403,ND
35201,simpledateformat,1801,8171934,8171933,ND
29733,nsdata,2313,7018419,7018418,ND
35346,nspredicate,2569,6006821,6006820,ND
9654,unity-container,3337,5102243,5102242,ND
4311,pivot-table,3593,8221050,8221049,ND
1456,byte,4873,8526390,8526389,ND
1747,nunit,5129,3998490,3998489,ND
62752,async-await,7433,4095405,4095404,ND
65127,socket.io,11529,5174193,5174192,ND
1672,backreference,266,9642590,9642589,ND
83784,jasmine-node,266,18168170,18168169,ND
58734,replacewith,266,18220647,18220646,ND
25638,state-monad,266,5696352,5696351,ND
38228,disabled-input,266,15571530,15571529,ND
7426,jbuilder,266,16511390,16511389,ND
12202,health-monitoring,266,12638153,12638152,ND
10690,emoticons,266,19392912,19392911,ND
33475,perlin-noise,266,7020034,7020033,ND
98031,haar-classifier,266,20040153,20040152,ND
74581,ubuntu-11.10,266,8139309,8139308,ND
70274,spring-batch-admin,266,10043155,10043154,ND
50179,g-wan,266,6723736,6723735,ND
56149,sim-card,266,11717131,11717130,ND
92306,android-timepicker,266,16862641,16862640,ND
85329,android-audiorecord,266,13090370,13090369,ND
26558,pywinauto,266,8029030,8029029,ND
1414,stax,522,5409183,5409182,ND
7887,upstart,522,5333058,5333057,ND
23078,tree-traversal,522,11300004,11300003,ND
6683,openal,522,5987728,5987727,ND
63797,google-apps-marketplace,522,10740167,10740166,ND
96457,uicontainerview,522,21093823,21093822,ND
59560,bit-fields,522,12471490,12471489,ND
115549,cakephp-3.x,522,33376691,33376690,ND
106380,custom-keyboard,522,25344253,25344252,ND
13334,bounding-box,522,9463689,9463688,ND
3850,filezilla,522,9849443,9849442,ND
100005,bootstrap-datetimepicker,522,29579877,29579876,ND
7760,hostname,778,10782108,10782107,ND
14782,backtracking,778,9227688,9227687,ND
26245,memory-address,1034,13585941,13585940,ND
24914,master-detail,1034,18434600,18434599,ND
1353,microsoft-dynamics,1546,5887513,5887512,ND
2796,freebsd,1546,5641742,5641741,ND
5953,code-signing,1802,5284765,5284764,ND
73418,firefox-addon-sdk,2058,7609287,7609286,ND
97726,plotly,2058,20056041,20056040,ND
2506,antlr,3082,3625037,3612673,ND
9047,subset,3338,14530576,14530575,ND
853,hook,3850,6603930,6603929,ND
1597,location,7178,9801223,9801222,ND
4330,copy,7434,7934241,7934240,ND
109572,reader,267,28665978,28665977,ND
14200,exchange-server-2007,267,7797351,7797350,ND
121612,es6-modules,267,43856936,43856935,ND
30004,browser-plugin,267,6099086,6099085,ND
7307,pkg-config,267,11673088,11673087,ND
98859,mahout-recommender,267,20531980,20531979,ND
22774,multiple-conditions,267,26604167,26604166,ND
15967,jsonserializer,267,33074867,33074866,ND
60024,deobfuscation,267,15441800,15441799,ND
4205,navision,267,11037771,11037770,ND
25859,adobe-reader,267,7660248,7660247,ND
22364,adblock,267,8626255,8626254,ND
19985,punctuation,267,19714262,19714261,ND
35127,appender,267,6196299,6196298,ND
34136,wavelet,267,6882514,6882513,ND
5877,logrotate,267,9908445,9908444,ND
10492,django-middleware,267,9820052,9820051,ND
13484,dom4j,267,5589146,5589145,ND
9268,stress-testing,523,9215151,9215150,ND
39952,ip-camera,523,9782437,9782436,ND
14128,single-table-inheritance,523,14660934,14660933,ND
22748,nscoding,523,9363214,9363213,ND
100315,php-5.6,523,21378948,21378947,ND
110827,bazel,523,29269368,29269367,ND
51473,drupal-theming,779,5562465,5562464,ND
105966,tidyr,779,25010160,25010159,ND
17325,packet,1035,16294706,16294705,ND
44091,leiningen,1035,5490722,5490721,ND
696,profiler,1291,5751002,5751001,ND
83914,datastax-enterprise,1291,12466181,12466180,ND
28185,categories,1547,22231955,22231954,ND
4335,intersection,1547,15046178,15046177,ND
15003,rtsp,1547,6891013,6891012,ND
27401,org-mode,1547,4909757,4909756,ND
5480,ads,1803,13344929,13344928,ND
58380,uwsgi,1803,5892624,5892623,ND
1783,build-process,2315,7392715,7392714,ND
8372,sharepoint-2007,3083,3625140,3625139,ND
1879,branch,3851,6350354,6350353,ND
120888,laravel-5.3,4107,38359226,38359225,ND
27080,preg-match,4619,8338028,8338027,ND
88865,angularjs-scope,8459,14933350,14933349,ND
107226,sp,268,26728135,26728134,ND
38622,django-sessions,268,11208274,11208273,ND
115965,laravel-query-builder,268,40419750,40419749,ND
20889,fuzzy-logic,268,9700169,9700168,ND
79895,hybridauth,268,15403158,15403157,ND
3742,dynamic-language-runtime,268,8318632,8318631,ND
107785,multidex,268,26797366,26797365,ND
58980,visual-c#-express-2010,268,6270130,6270129,ND
53633,abstracttablemodel,268,20045369,20045368,ND
15972,custom-errors,268,25270674,25270673,ND
52846,database-indexes,268,9376819,9376818,ND
17071,discovery,268,44391420,44391419,ND
69679,in-app,268,41408911,41408910,ND
49963,.obj,268,7234188,7234187,ND
2725,mongrel,268,5760242,5760241,ND
103368,sql-server-2014-express,268,27065296,27065295,ND
29597,crypto++,524,7883639,7883638,ND
78581,emacs24,524,9842896,9842895,ND
22917,compile-time,524,13360826,13360825,ND
68414,ef-database-first,524,18174973,18174972,ND
23187,websphere-portal,524,8393024,8393023,ND
101137,scala.js,524,21848024,21848023,ND
6869,ipod,524,6533646,6533645,ND
90432,csom,524,15767815,15767814,ND
31514,expandablelistadapter,524,23045020,23045019,ND
31901,http-redirect,780,6031439,6031438,ND
106692,delphi-xe7,780,25658305,25658304,ND
12260,bmp,780,5398743,5398742,ND
3734,latency,780,16082066,16082065,ND
14825,populate,780,5506896,5506895,ND
72866,epplus,1036,7359781,7359780,ND
9397,implicit,1036,10165741,10165740,ND
12607,worksheet-function,1036,3625164,3625163,ND
19835,classcastexception,1292,5588937,5588936,ND
85564,dynamics-crm-2013,1292,13494943,13494942,ND
25983,option,1548,12942991,12942990,ND
560,rgb,2316,5310939,5310938,ND
2205,redhat,2316,7532896,7532895,ND
38354,paypal-sandbox,2572,7702557,7702556,ND
13425,javabeans,3084,7558156,7558155,ND
82089,logstash,4620,11602576,11602575,ND
4527,sql-server-2005,18188,5006359,5006358,ND
3048,ironruby,269,5686586,5686585,ND
109326,angular-fullstack,269,27900030,27900029,ND
16405,hierarchicaldatatemplate,269,6767864,6767863,ND
5072,roi,269,8404726,8404725,ND
60282,opengl-4,269,7110355,7110354,ND
97498,sknode,269,19709966,19709965,ND
53318,appendto,269,21367112,21367111,ND
10049,mdichild,269,10013000,10012999,ND
65939,smartgit,269,9190660,9190659,ND
126729,swift4,269,44318393,44318392,ND
65225,gmock,269,15160753,15160752,ND
47089,enable-if,269,22421606,22421605,ND
31945,named-ranges,269,9378274,9378273,ND
58143,implements,269,9330392,9330391,ND
2299,formview,525,5289553,5289552,ND
3180,notepad,525,8349630,8349629,ND
63614,queryover,525,6280967,6280966,ND
2479,fckeditor,525,8344171,8344170,ND
2981,response.redirect,525,15092911,15092910,ND
27103,vb6-migration,525,3625215,3625214,ND
55749,music-player,525,18326321,18326320,ND
9240,database-project,525,10436549,10436548,ND
100949,ngroute,781,21803457,21803456,ND
85955,google-api-dotnet-client,781,14339664,14339663,ND
38841,reachability,781,6182720,6182719,ND
495,powerbuilder,1037,3625255,3611740,ND
53877,amazon-sns,1037,5926595,5926594,ND
29934,git-rebase,1037,10747892,10747891,ND
70528,testflight,1293,9035564,9035563,ND
4272,unmanaged,1293,9767354,9767353,ND
10500,explode,1549,6320818,6320817,ND
16580,deprecated,1549,6095645,6095644,ND
925,opera,1805,4890083,4890082,ND
2892,tracking,1805,12086545,12086544,ND
6623,sip,2317,3627632,3627631,ND
10,c++,529933,3624963,3606997,ND
59767,data-structures,19469,4892310,4892309,ND
11439,getdate,270,24394323,24394322,ND
100432,test-kitchen,270,21776765,21776764,ND
123889,.net-standard,270,45439252,45439251,ND
15216,sqlclient,270,7474990,7474989,ND
41411,phar,270,12205878,12205877,ND
22441,url-pattern,270,25785296,25785295,ND
106544,rails-activejob,270,25533677,25533676,ND
1601,dbnull,270,11780535,11780534,ND
20140,push-back,270,20886033,20886032,ND
92219,mql4,270,16788546,16788545,ND
36401,flying-saucer,270,5644785,5644784,ND
3520,pc,270,16666119,16666118,ND
108733,fusedlocationproviderapi,270,27450586,27450585,ND
86941,rpart,270,14072203,14072202,ND
13544,google-talk,270,12829111,12829110,ND
52060,sin,270,13462308,13462307,ND
52720,listpreference,270,19348520,19348519,ND
71106,tshark,270,16224806,16224805,ND
63905,datainputstream,270,12362240,12362239,ND
2377,bubble-chart,270,13730126,13730125,ND
22626,wstring,270,15722245,15722244,ND
77812,superagent,270,16188207,16188206,ND
7022,code-organization,526,15854935,15854934,ND
1574,msxml,526,5780404,5780403,ND
4662,stylecop,526,5071024,5071023,ND
18118,wx,526,9391313,9391312,ND
105430,floating-action-button,782,24459370,24459369,ND
13248,pageload,782,20340827,20340826,ND
52921,android-gallery,1038,11141901,11141900,ND
38612,voice-recognition,1038,12524448,12524447,ND
53847,branching-and-merging,1038,9942709,9942708,ND
82079,weblogic12c,1294,11434941,11434940,ND
5679,perl-module,1294,6992404,6992403,ND
69128,dbcontext,1550,11344123,11344122,ND
